AS Lab # ,Spec or Tag #,Site,Unit/Project,Provenience/Location A,Provenience/Location B,Phase,Genus,Species,Element,Side,δ13C apatite-VPDB (‰),δ18O apatite-VSMOW (‰),C/P,IR-SF,Notes
AS-0844,43375.002,Teopancazco,TEOPAN 2000-2,E1 C158 R3,N468 E93,Tlamimilolpa - Xolalpan,Lepus ,,Humerus,R,-6.3,25.4,0.14,4.49,
AS-0845,43375.001,Teopancazco,TEOPAN 2000-2,E1 C158 R3,N468 E93,Tlamimilolpa - Xolalpan,Lepus ,,Femur,R,-9.1,28.0,,,
AS-0846,44296.001,Teopancazco,TEOPAN 2000-2,E1 C158B AA77 EN23 R5 RT#7376,N465 E94,Tlamimilolpa - Xolalpan,Lepus ,,Tibia ,R,-8.8,27.2,,,
AS-0847,44373.001,Teopancazco,TEOPAN 2000-2,E1 C158 R5,N467 E93,Tlamimilolpa - Xolalpan,Lepus ,,Femur,L,-5.8,25.8,,,
AS-0848,47376.001,Teopancazco,TEOPAN 2001-1,E1 C247B R2,N452 E118,Tlamimilolpa - Xolalpan,Lepus ,,Tibia ,R,-3.8,26.9,,,
AS-0849,51506.001,Teopancazco,TEOPAN 2001-2,E1 C213A R3,N453 E115,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,R,-9.5,26.4,,,
AS-0850,55878.001,Teopancazco,TEOPAN 2002,E1 C258C AA103 R1,N462 E93,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,L,-6.6,28.8,,,
AS-0851,58982.001,Teopancazco,TEOPAN 2002,E1 C258E R4 Bajo Ap.2,N462 E95,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,R,-7.5,27.5,,,
AS-0852,55988.001,Teopancazco,TEOPAN 2002,E1 C258A AA103 R2,N463 E93,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,L,-8.2,28.3,,,
AS-0071,11912.001,Túneles y Cuevas ,CV C2,N337 E102 1d-1f,,Azteca,Lepus,californicus,Tibia,R,-9.2,27.8,0.28,2.12,
AS-0072,11912.002,Túneles y Cuevas ,CV  C2,N337 E102 1d-1f,,Azteca,Sylvilagus,floridanus,Femur,L,-8.0,25.1,0.26,1.98,
AS-0073,21952,Túneles y Cuevas ,CP C5,N349 E118 E8 Capa R2 (1d) ,,Azteca III,Sylvilagus,floridanus,Femur,L,-11.3,21.3,0.19,2.06,
AS-0074,22715,Túneles y Cuevas ,CP C5,N349 E116 1g,,Azteca III,Lepus,,Humerus,R,-7.0,23.1,0.28,1.94,
AS-0075,22788,Túneles y Cuevas ,CP C5,N350 E116 1g,,Azteca III,Sylvilagus,floridanus,Femur,L,-8.6,24.7,0.25,2.02,
AS-0164,22788,Túneles y Cuevas ,CP C5,N350 E116 1g,,Azteca III,Lepus,,Pelvis,L,-7.7,23.2,,,
AS-0165,23188,Túneles y Cuevas ,CP C5,N348 E116 1h,,Mazapa Perturbado por Azteca III,Sylvilagus,floridanus,Mandible,L,-8.1,24.1,,,
AS-0166,24112,Túneles y Cuevas ,CP C3,N347 E109 1g,,Coyotlatelco,Sylvilagus,floridanus,Tibia,L,-12.7,28.6,,,
AS-0167,25229,Túneles y Cuevas ,CP C3,N346 E111 1f,,Coyotlatelco,Lepus,,Mandible,R,-7.1,26.1,,,
AS-0168,22383,Túneles y Cuevas ,CP C5,N349 E117 1f,,Azteca III,Sylvilagus,floridanus,Femur,R,-9.0,30.6,,,
AS-0169,11920,Túneles y Cuevas ,CV C2,N336 E102 1d-1f,,Azteca  ,Sylvilagus,floridanus,Tibia,L,-9.6,26.4,,,
AS-0170,23402,Túneles y Cuevas ,CP C4,N359-361 E125-126,,Coyotlatelco tardio,Lepus,,Tibia,R,-5.9,27.8,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
